hospital,average_billing
"Adams, Christian And Perry",9867.97
"Adams, Collins Simmons And",22255.45
"Adams, Hayes And Gardner",14695.31
"Adams, Hendricks Collins And",8200.79
"Adams, Mcgee Brown And",33686.05
"Adams, Proctor Evans And",26533.25
"Adams, Randall Powers And",39471.35
"Adams, Ross Edwards And",35301.15
Adams-Bailey,33819.21
Adams-Barnes,32284.55
Adams-Bass,27850.55
Adams-Bell,40135.06
Adams-Bennett,30363.33
Adams-Benson,12865.86
Adams-Best,35296.48
Adams-Black,4974.77
Adams-Castillo,28520.94
Adams-Castro,7562.9
Adams-Chase,12786.12
Adams-Clark,27604.7
Adams-Cortez,12813.98
Adams-Daugherty,21184.28
Adams-Dean,20445.47
Adams-Dominguez,36690.07
Adams-Ferguson,18181.04
Adams-Flynn,44196.91
Adams-Gallegos,34085.72
Adams-Garza,24312.49
Adams-Gates,41706.38
Adams-Gomez,27840.78
Adams-Hale,31203.13
Adams-Harper,33690.76
Adams-Harrington,51055.71
Adams-Harris,28605.61
Adams-Henry,15422.67
Adams-Hicks,31803.72
Adams-Hinton,50687.83
Adams-Howard,37664.09
Adams-Jackson,31875.57
Adams-Johnson,9478.11
Adams-Kim,46094.98
Adams-Krause,51144.92
Adams-Lee,38656.08
Adams-Marquez,6114.08
Adams-Martin,41294.72
Adams-Massey,43088.56
Adams-Mcclure,10399.75
Adams-Mcgrath,9478.33
Adams-Mendoza,38864.55
Adams-Mitchell,22922.3
Adams-Molina,21576.5
Adams-Nash,35345.74
Adams-Ortega,10558.4
Adams-Reynolds,31592.34
Adams-Rice,22000.88
Adams-Richardson,18445.5
Adams-Rodriguez,3467.37
Adams-Salazar,8622.67
Adams-Savage,29683.96
Adams-Simmons,25940.72
Adams-Smith,30151.5
Adams-Stewart,8471.17
Adams-Stuart,28118.44
Adams-Thompson,27083.23
Adams-Valencia,20264.21
Adams-Vazquez,33126.96
Adams-Velasquez,6481.97
Adams-Velez,31350.36
Adams-Woods,6929.71
Adkins Group,7361.44
"Adkins Hale Mueller, And",31562.08
Adkins Inc,27891.27
"Adkins Knapp And Richards,",3470.76
Adkins Llc,43841.35
Adkins Plc,44660.89
Adkins Sons And,21942.76
"Adkins Torres Graves, And",41364.04
"Adkins Wade Simmons, And",42071.04
"Adkins, And Morrow Russo",41525.93
"Adkins, Garcia Pratt And",13204.25
"Adkins, Guerrero And Kelly",2579.01
"Adkins, Logan And Johnson",13069.81
Adkins-Avila,23284.18
Adkins-Black,15876.24
Adkins-Cantu,38421.24
Adkins-Carter,15695.39
Adkins-Cox,28559.16
Adkins-Gonzalez,48237.4
Adkins-Griffin,18795.19
Adkins-Holmes,40338.77
Adkins-Jackson,19309.05
Adkins-Martin,20283.37
Adkins-Scott,3852.41
"Aguilar Adams, And Morrison",49348.81
"Aguilar Aguilar Tyler, And",43835.12
"Aguilar Cardenas And Frederick,",6611.76
Aguilar Group,37990.33
"Aguilar Guzman, And Pratt",31250.55
Aguilar Inc,10408.42
"Aguilar Kim And Baker,",7904.35
"Aguilar Klein, Thompson And",2242.77
"Aguilar Lawson And Joseph,",31374.31
Aguilar Ltd,35044.86
"Aguilar Miller, Allen And",35507.92
"Aguilar Mullins And Schmidt,",27670.95
Aguilar Plc,43241.48
Aguilar Sons And,13945.1
"Aguilar, And Dean Williams",25046.04
"Aguilar, And Wilson Perez",35263.53
"Aguilar, Castaneda And Johnson",24132.34
"Aguilar, Schwartz And Molina",34764.37
"Aguilar, Spencer Sanders And",13913.05
Aguilar-Bass,14896.98
Aguilar-Blake,4661.63
Aguilar-Conley,38508.56
Aguilar-Ellison,28219.34
Aguilar-Freeman,44602.39
Aguilar-Guzman,37666.97
Aguilar-Harris,43502.03
Aguilar-Hill,47819.39
Aguilar-Howard,24049.26
Aguilar-Leonard,25065.03
Aguilar-Lopez,34859.71
Aguilar-Lowery,44938.46
Aguilar-Martinez,49735.31
Aguilar-Moreno,30451.24
Aguilar-Parsons,22218.53
Aguilar-Pearson,44187.65
Aguilar-Scott,24198.45
Aguilar-Silva,9169.67
Aguilar-Vega,23651.3
Aguilar-Waller,28899.31
"Aguirre Bell, And Ramsey",23923.29
Aguirre Group,23524.27
Aguirre Llc,28355.82
Aguirre Ltd,36661.25
"Aguirre Turner, Reed And",17197.14
Aguirre-Christensen,50702.74
Aguirre-Davis,14594.94
Aguirre-Edwards,38846.53
Aguirre-Graves,9082.93
Aguirre-Pennington,48427.16
Aguirre-Perkins,9004.86
Aguirre-Pugh,50025.49
Aguirre-Rodriguez,35487.84
Aguirre-Sims,5367.37
Aguirre-Wang,47399.62
Aguirre-Williams,17139.19
"Alexander And Castillo, Mason",27773.27
"Alexander And Graham Jennings,",40185.48
"Alexander And Jensen Andrews,",3730.0
Alexander Group,26826.6
"Alexander Hays, And Hernandez",32078.95
Alexander Inc,22071.12
Alexander Ltd,48385.9
"Alexander Martinez, Love And",47267.18
"Alexander Patton, Lowery And",39252.18
Alexander Plc,31088.64
"Alexander Simmons And Martinez,",14648.17
"Alexander Turner, Stout And",32268.98
"Alexander Wagner And Hill,",13919.86
"Alexander Williams And Dixon,",24919.65
"Alexander, And Ewing Lopez",17672.31
"Alexander, And Norris Williams",46475.61
"Alexander, Baker Howell And",27182.7
"Alexander, Morris And Hayes",33418.31
"Alexander, Schneider And Wilson",5702.77
Alexander-Austin,16375.8
Alexander-Bradley,5745.7
Alexander-Brady,7885.14
Alexander-Brooks,35969.45
Alexander-Cantu,3666.84
Alexander-Duncan,45523.87
Alexander-Gallagher,42050.69
Alexander-George,10320.16
Alexander-Howard,26397.86
Alexander-Lopez,37858.96
Alexander-Manning,39849.79
Alexander-Mcdaniel,14465.14
Alexander-Middleton,38397.02
Alexander-Moore,27054.11
Alexander-Murphy,24562.01
Alexander-Nichols,14076.6
Alexander-Oconnor,41150.19
Alexander-Sanchez,45713.64
Alexander-Saunders,12646.92
Alexander-Silva,29527.81
Alexander-Smith,4164.72
Alexander-Snyder,26222.83
Alexander-Soto,6967.8
Alexander-Stone,20880.34
Alexander-Villa,6240.27
Alexander-Walker,50102.68
Alexander-White,24371.01
"Ali And Chambers, Dawson",11508.82
"Ali And Cox Johnson,",40115.17
Ali And Sons,3973.15
"Ali And Vargas Montes,",27852.7
"Ali Fischer And Howe,",37643.65
Ali Group,19720.04
Ali Plc,28903.44
Ali Sons And,19008.85
"Ali, Cooper Gilbert And",24297.27
Ali-Adams,48015.58
Ali-Baird,13936.98
Ali-Byrd,49384.18
Ali-Harris,26999.38
Ali-James,17716.57
Ali-Marsh,10730.44
Ali-Warren,37400.33
"Allen And Bell, Bell",15894.56
"Allen And Blackwell Morgan,",11689.47
"Allen And Decker, Gonzales",13080.33
"Allen And Duncan Wright,",32530.97
"Allen And Gray, Scott",7860.76
"Allen And Ho Wheeler,",35700.69
"Allen And Hodge Williams,",49225.85
"Allen And Holmes Schmidt,",46444.96
"Allen And Holt, Ford",11138.86
"Allen And Kelly Garrett,",38072.72
"Allen And Moore Holmes,",38385.73
"Allen And Page Graves,",14911.49
"Allen And Smith Tran,",33969.18
Allen And Sons,27112.86
"Allen And Taylor, Matthews",8088.27
"Allen And Valdez, Cantrell",3937.45
"Allen And Warren Johnson,",17432.58
"Allen And Wilson Rollins,",48564.86
"Allen Baker, Ross And",37801.89
"Allen Black, And Collins",39325.2
"Allen Campbell, And Hurst",1583.38
"Allen Carney And Heath,",28848.27
"Allen Castro And Hill,",30204.03
"Allen Davis Todd, And",24101.2
"Allen Decker Taylor, And",42029.96
"Allen Garcia And Wolf,",25702.3
"Allen Garcia, Johnson And",9728.73
"Allen Gonzales And Hill,",45086.93
Allen Group,29337.75
"Allen Harrington Grant, And",22053.98
"Allen Hurst, Gonzalez And",6640.9
Allen Inc,25992.33
"Allen Johnson, Meyers And",38891.29
Allen Llc,12516.97
Allen Ltd,27824.28
"Allen Orr, And Frye",27475.62
"Allen Parker And Estes,",12448.69
"Allen Payne, Hamilton And",7555.25
"Allen Pearson And Kaiser,",31478.82
"Allen Pitts, Bryan And",44175.66
Allen Plc,23231.68
"Allen Rodriguez, And Stewart",23090.35
Allen Sons And,39697.64
"Allen Sparks And Soto,",30406.92
"Allen Stanley, Woods And",10994.08
"Allen Thompson, And Mcdonald",49749.74
"Allen Watson And Robinson,",18144.51
"Allen Watson Nguyen, And",17961.68
"Allen, And Barnes Smith",42951.17
"Allen, And Blackwell Taylor",27731.52
"Allen, And Fischer Richardson",16231.99
"Allen, And Jackson Harrell",7773.54
"Allen, And Jensen Hurley",38867.03
"Allen, And Parker Lynch",17077.98
"Allen, And Rodriguez Randolph",45226.36
"Allen, And Velasquez Wilcox",10986.84
"Allen, Cantu Orozco And",39835.73
"Allen, Chaney Rice And",24874.75
"Allen, Cross And Collins",39691.6
"Allen, Davies And Mcintyre",34613.0
"Allen, Frank Moore And",34093.45
"Allen, Harrell Schmidt And",21085.73
"Allen, Jackson And Brown",44859.99
"Allen, Jackson And Walker",14310.08
"Allen, Jenkins Mcknight And",4909.02
"Allen, Johns And Holland",19210.03
"Allen, Johnson And Cooper",6242.87
"Allen, Miller And Reed",28090.03
"Allen, Quinn Mitchell And",4360.8
"Allen, Turner And Allen",15023.33
"Allen, Wall And Wade",2541.14
"Allen, Williams And Phillips",26612.01
Allen-Allen,32.63
Allen-Anderson,37851.99
Allen-Austin,16253.36
Allen-Baker,16931.51
Allen-Bond,4676.29
Allen-Brown,12278.38
Allen-Byrd,7980.41
Allen-Campbell,47863.02
Allen-Cherry,11624.31
Allen-Cooke,9949.01
Allen-Copeland,11416.34
Allen-Cowan,41859.31
Allen-Crawford,28065.61
Allen-Cunningham,42499.47
Allen-Davenport,12473.49
Allen-Deleon,19013.67
Allen-Duran,24712.64
Allen-Evans,46853.55
Allen-Ferguson,9818.96
Allen-Fisher,29880.81
Allen-Ford,4478.27
Allen-Foster,17311.65
Allen-French,30351.12
Allen-Garcia,34771.42
Allen-Gomez,47988.08
Allen-Gray,50189.23
Allen-Hall,16252.0
Allen-Hernandez,48761.17
Allen-Hill,16731.42
Allen-Hoffman,30672.8
Allen-Holland,38982.35
Allen-Horn,9831.11
Allen-Horne,32066.24
Allen-Howell,4346.0
Allen-James,1831.71
Allen-Johnson,23296.49
Allen-Jones,29627.89
Allen-Leon,36258.22
Allen-Lowery,43439.29
Allen-Lynch,23511.67
Allen-Marshall,1593.27
Allen-Mcguire,20855.9
Allen-Mckee,1419.36
Allen-Moore,28680.41
Allen-Morales,1144.38
Allen-Mueller,40390.0
Allen-Newton,1210.08
Allen-Nguyen,32923.69
Allen-Ortiz,12239.54
Allen-Parrish,23569.42
Allen-Perez,26373.32
Allen-Powers,25939.74
Allen-Price,30500.14
Allen-Ramos,3945.24
Allen-Rice,26718.27
Allen-Rich,39960.48
Allen-Robertson,8531.69
Allen-Rodriguez,30002.31
Allen-Russell,745.29
Allen-Sawyer,3468.95
Allen-Scott,26776.28
Allen-Smith,3918.92
Allen-Spence,46320.14
Allen-Spencer,10256.48
Allen-Sullivan,14406.33
Allen-Taylor,10574.76
Allen-Torres,36480.59
Allen-Tucker,42596.8
Allen-Tyler,16971.18
Allen-Wallace,586.55
Allen-Walsh,32786.82
Allen-Wilson,38052.13
Allen-Wood,31488.03
Allison Llc,33903.85
Allison Ltd,37599.1
Allison Plc,15593.0
"Allison Price Williams, And",49795.37
"Allison Rodgers Sullivan, And",957.45
"Allison Strong And Nixon,",4812.02
"Allison, And Cruz Moore",35576.59
Allison-Bailey,34492.31
Allison-Black,39778.59
Allison-Cameron,38578.54
Allison-Moore,35149.38
Allison-Walters,15048.83
Allison-Williams,33653.65
"Alvarado And Myers Smith,",17138.94
Alvarado Inc,25766.57
Alvarado Llc,31343.89
"Alvarado Mcmahon And Guerra,",4955.96
Alvarado Plc,30875.49
"Alvarado Richard And Brown,",14949.39
"Alvarado Sullivan Miller, And",33378.64
Alvarado-Allen,44921.34
Alvarado-Bradley,44947.06
Alvarado-Carroll,10142.31
Alvarado-Deleon,27385.74
Alvarado-Delgado,40686.91
Alvarado-Elliott,8415.98
Alvarado-Gonzalez,3194.77
Alvarado-Lopez,4762.56
Alvarado-Martin,1077.17
Alvarado-Meza,34732.28
Alvarado-Prince,27277.2
Alvarado-Scott,6742.94
Alvarado-Smith,41817.31
"Alvarez And James, Mcintosh",36345.63
"Alvarez And Mullins, Barajas",6116.05
"Alvarez And Sanchez Taylor,",43664.11
"Alvarez And York Rocha,",14366.76
"Alvarez Austin Snyder, And",21513.53
"Alvarez Clark, And Francis",29585.99
"Alvarez Garcia, And Watkins",39214.32
Alvarez Group,24103.57
"Alvarez Hayes Guzman, And",7221.3
Alvarez Inc,45577.57
Alvarez Llc,30826.49
Alvarez Ltd,36037.32
"Alvarez Maldonado, And Oconnor",44408.95
"Alvarez Moss Smith, And",35263.41
Alvarez Plc,29988.34
Alvarez Sons And,36378.26
"Alvarez Wilson And Fry,",17159.42
"Alvarez, And Lewis Jennings",9298.59
"Alvarez, Rogers And Kennedy",37845.38
"Alvarez, Ross And Hurst",34858.4
"Alvarez, Vasquez And Price",17200.39
Alvarez-Blair,6972.57
Alvarez-Chavez,8498.36
Alvarez-Craig,51293.41
Alvarez-Cruz,42956.13
Alvarez-Flynn,39123.35
Alvarez-Griffith,8805.04
Alvarez-Guerrero,33222.09
Alvarez-Harris,35318.7
Alvarez-Hays,8066.74
Alvarez-Henry,7612.78
Alvarez-Martin,19055.09
Alvarez-Mathews,13146.07
Alvarez-Miranda,18948.66
Alvarez-Nunez,32208.96
Alvarez-Olson,13022.69
Alvarez-Payne,38992.27
Alvarez-Perry,30035.02
Alvarez-Quinn,9205.77
Alvarez-Robinson,33055.74
Alvarez-Rogers,46403.07
Alvarez-Shelton,47945.54
Alvarez-Smith,25104.22
Alvarez-Valentine,27106.0
Alvarez-Vargas,48914.64
Alvarez-Young,8213.78
Alvarez-Zamora,17938.89
"And Abbott Campbell Palmer,",171.9
"And Abbott Gross, Anderson",9892.25
"And Acevedo, James Ho",25428.3
"And Acosta, George Silva",27583.87
"And Adams Bautista, Roberts",38683.85
"And Adams Brown, Fuller",11235.25
"And Adams Brown, Love",45136.98
"And Adams Chavez Camacho,",5031.08
"And Adams Cole, Payne",48016.34
"And Adams Figueroa, Edwards",10233.22
"And Adams Hunt Bennett,",41157.18
"And Adams Martin, Sosa",28569.29
"And Adams Martin, Thomas",22654.84
"And Adams Morgan Livingston,",16560.5
"And Adams Orr Jones,",41703.87
"And Adams Reilly, Taylor",22133.58
"And Adams Rodriguez Hill,",29141.76
"And Adams Russo, Sexton",17631.81
And Adams Sons,24270.58
"And Adams Walls Knight,",11717.07
"And Adams, Black Villegas",16631.91
"And Adams, Booker Buckley",27604.74
"And Adams, Evans Hill",8702.18
"And Adams, Graham Higgins",3703.37
"And Adams, Harris Kennedy",27498.03
"And Adams, Johns Duncan",25806.34
"And Adams, Johnston Brock",29313.98
"And Adams, Martin Franklin",4760.29
"And Adams, Patton Carter",43656.57
"And Adams, Perry Fitzpatrick",26879.59
"And Adams, Smith Gonzalez",26036.3
"And Adkins Bolton Manning,",48639.1
"And Adkins Porter, Benton",42764.84
"And Adkins Woods, Lowery",23441.08
"And Aguilar Carney, Cohen",40685.18
And Aguilar Sons,30895.61
"And Aguirre Smith Williams,",46024.8
And Aguirre Sons,17949.8
"And Alexander Crawford Graham,",27507.04
"And Alexander Espinoza Stone,",5953.11
"And Alexander Ferguson Munoz,",9080.71
"And Alexander Hall Powers,",19761.97
"And Alexander Hanson Johnson,",33220.63
"And Alexander Hunter, Thompson",22709.86
"And Alexander Knight Smith,",40495.08
"And Alexander Mullins, Hampton",45106.49
"And Alexander Wilkins, Baker",46235.73
"And Ali Snyder Hughes,",28847.11
"And Allen Anderson, Rivera",23698.71
"And Allen Bryant Carlson,",27857.48
"And Allen Conley Rhodes,",10749.77
"And Allen James Wolf,",47946.31
"And Allen Jennings, Branch",46670.46
"And Allen Mitchell, Soto",41129.8
"And Allen Reeves, Gross",35543.37
And Allen Sons,31427.47
"And Allen Torres, Rice",36106.95
"And Allen Wright Ward,",40904.84
"And Allen, Baker Castro",15575.5
"And Allen, Davis Phillips",27561.3
"And Allen, Gonzales Johnston",38629.22
"And Allen, Jenkins Robinson",8073.09
"And Allen, Porter Edwards",22427.08
"And Allen, Roberts Evans",2606.94
"And Allen, Taylor Bennett",14843.25
"And Allen, Zavala Collins",12926.66
"And Alvarado Grant May,",26040.25
"And Alvarado Thomas Acosta,",49598.63
"And Alvarado, Nelson Wright",8635.21
"And Alvarez Banks, Munoz",19924.13
"And Alvarez Gilmore Wheeler,",4448.51
"And Alvarez Jennings Roberts,",2714.49
"And Alvarez Johnson, Nguyen",19757.2
"And Alvarez Lee Gay,",20820.17
And Alvarez Sons,19548.0
"And Alvarez Stevens Cox,",31086.39
"And Alvarez Torres Osborn,",28311.36
"And Alvarez Tran, Ortiz",6182.35
"And Alvarez, Choi Jackson",9230.72
"And Alvarez, Cox Powers",392.91
"And Alvarez, Perkins Russell",38147.8
"And Andersen Edwards, Martinez",27711.4
"And Andersen Miller Jones,",36698.95
"And Andersen Strickland Ingram,",37358.11
"And Andersen, Molina Garcia",44260.0
"And Anderson Boyd Bennett,",1089.34
"And Anderson Boyd, Hardy",38145.32
"And Anderson Donaldson Aguilar,",45877.55
"And Anderson Flowers, Tucker",6596.19
"And Anderson Gentry, Esparza",32219.64
"And Anderson Gonzalez, Waters",32799.36
"And Anderson Hartman Flores,",36170.79
"And Anderson Irwin Whitney,",10954.57
"And Anderson Kennedy, Owens",44961.46
"And Anderson Lindsey Burgess,",11913.92
"And Anderson Lopez, Mitchell",8771.65
"And Anderson Mendez, Ortiz",11702.7
"And Anderson Middleton, King",9854.75
"And Anderson Nichols Whitaker,",25334.94
"And Anderson Smith Sanchez,",40598.42
And Anderson Sons,27065.49
"And Anderson Turner Henderson,",48346.86
"And Anderson Williams Harrison,",44514.94
"And Anderson, Berry Franklin",21899.5
"And Anderson, Huff Ford",40646.35
"And Anderson, Hull Simon",37355.76
"And Anderson, Porter Becker",39448.89
"And Anderson, Richards Benson",469.53
"And Anderson, Scott Nelson",44409.94
"And Anderson, Smith Carr",26448.17
"And Anderson, Smith Woods",13067.2
"And Anderson, Stephens Rowe",22226.54
"And Anderson, Woods Woods",2421.98
"And Andrews Cole, Garcia",11335.31
"And Andrews Miranda Watson,",4786.78
"And Andrews, Armstrong Padilla",19862.16
"And Andrews, Flores Brady",32201.08
"And Anthony Hays Medina,",48991.87
"And Anthony Nelson, Griffith",47764.51
"And Anthony, Valdez Tapia",43526.02
"And Arellano Anderson, Bruce",21280.76
"And Arellano Parks Meyer,",12723.31
"And Arellano, Caldwell Mathis",16696.43
"And Arellano, Gill Jackson",36523.16
"And Arias, Hogan May",23336.26
"And Armstrong Ayers, Horne",39053.56
"And Armstrong Johnson, Foster",3492.21
And Armstrong Sons,11979.62
"And Armstrong, Blair Zimmerman",18466.86
"And Armstrong, Taylor Burns",38755.95
"And Arnold Anderson, White",42453.38
"And Arnold Johnson Mccullough,",25704.99
"And Arnold Johnson, Edwards",42752.18
"And Arnold Meadows, Rivas",4268.8
"And Arnold Morales, Gonzales",42374.56
And Arnold Sons,32906.17
"And Arnold Watkins Fleming,",10835.09
"And Arnold, Phillips Fox",48688.15
"And Ashley Decker, Hays",6108.55
"And Ashley Washington, Neal",22450.86
"And Atkins Barnes, Hall",24412.93
"And Atkins Hayden Hopkins,",22084.08
"And Atkins Mcintosh, Sanders",3735.71
And Atkins Sons,45574.81
"And Atkins, Kelly Torres",16360.53
"And Atkinson Blevins, Stevens",36914.84
"And Atkinson Hanson Henry,",18621.24
"And Atkinson Perez, Allen",17486.93
"And Atkinson Wilson, Torres",9195.5
And Austin Sons,21859.52
"And Avery, Jarvis Hopkins",32064.42
"And Avila Johnson Wood,",22961.86
"And Avila, Moss Caldwell",9713.91
"And Avila, Oconnor Brown",42387.75
"And Ayala Miller, Wilson",40240.31
"And Ayers King, Smith",34597.39
"And Ayers Swanson, Greer",11599.16
"And Ayers, Vazquez Rivers",46925.37
"And Bailey Barnes Vasquez,",47613.32
"And Bailey Dickerson Dalton,",5814.75
"And Bailey Douglas Davis,",44963.21
"And Bailey Garcia Spencer,",15686.43
"And Bailey Jones Robinson,",7938.59
"And Bailey Kennedy, Morales",11762.64
"And Bailey Martin, Graham",48412.54
"And Bailey Martin, Smith",5916.66
"And Bailey Meza, Jones",39318.32
"And Bailey Munoz, Hernandez",43058.19
"And Bailey Phillips, Wright",5923.9
"And Bailey Ramos, Webster",42095.55
"And Bailey Sawyer, Weiss",4508.97
"And Bailey Shea, Krause",24514.6
"And Bailey Thompson, Jacobs",33263.06
"And Bailey Williams Melton,",40367.9
"And Bailey, Baker Lewis",20145.03
"And Bailey, Martinez Cook",23301.04
"And Baird, Simmons Peters",37629.03
"And Baker Burns, Mccarthy",13469.66
"And Baker Davis, Brooks",6856.32
"And Baker Donovan Sherman,",10892.72
"And Baker Jones, Wilson",35949.12
"And Baker Kennedy Fuentes,",35319.94
"And Baker Rodriguez, Cameron",17339.84
"And Baker Salazar, Gonzalez",33064.08
And Baker Sons,39196.07
"And Baker, Anderson Powell",10730.44
"And Baker, Combs Hill",11383.2
"And Baker, Elliott Olson",40735.98
"And Baker, Golden Rhodes",23052.21
"And Baker, Thompson Shelton",19875.17
"And Baldwin Lopez, Stewart",42425.93
"And Baldwin Mcneil, Simmons",42672.09
"And Baldwin Walker, Campbell",49299.55
"And Baldwin, King Stephens",10941.87
"And Baldwin, Wheeler Burns",15698.86
"And Ball Aguilar, Norton",27375.25
"And Ball Osborn, Horton",19923.32
"And Ball Ray, Hoffman",11377.34
"And Ball, Robinson Wade",39342.89
"And Banks Price, Chambers",36057.26
"And Barajas Jimenez, Daniel",13124.52
"And Barajas Santos, Jones",9161.74
"And Barber Johnson Coleman,",33028.74
"And Barber Johnson Rowe,",21802.26
"And Barber Schwartz Carr,",9431.73
"And Barker, Hill Sellers",43916.59
"And Barnes Cook Klein,",19111.36
"And Barnes Hubbard Dillon,",26459.96
"And Barnes James Williams,",46126.54
"And Barnes Scott Black,",43172.28
"And Barnes Stanley Murray,",31842.07
"And Barnes Thompson, Lopez",3597.51
"And Barnes, Deleon Williams",36415.01
"And Barnett Bradley, Henderson",15752.37
"And Barnett Ferguson, Palmer",20858.71
"And Barnett Sanders, Williams",19979.87
And Barnett Sons,15900.19
"And Barnett, Quinn Stewart",12964.98
"And Barr, Bailey Davis",32266.31
"And Barrera Allen Burke,",33377.79
"And Barrera Anderson, Dunn",5418.13
"And Barrett Beck, Smith",38760.21
"And Barrett Scott Johnson,",43985.08
And Barrett Sons,12681.13
"And Barrett, Crawford Williams",21830.45
"And Barrett, Johnson Estes",31962.23
"And Barrett, Johnson Miller",47042.2
"And Barrett, Parks Brown",30486.29
"And Barrett, Russell Phillips",3532.05
"And Barron Williams Castro,",26669.61
"And Barron, Norton Farmer",37124.77
"And Barry Duran Hall,",20425.83
"And Barry Smith, Sexton",16204.98
"And Barry White, Jones",41893.25
"And Bartlett Keller Wolfe,",29100.66
"And Barton Miller White,",18283.88
And Barton Sons,29850.65
"And Barton, Patterson Burton",7418.44
"And Bates Meyer, Hernandez",44491.33
"And Bates Smith Wade,",23782.65
"And Bauer Bowman, Lutz",24397.32
"And Bauer Stevens Li,",8431.77
"And Bautista Webb, Wilson",36352.47
"And Bautista, Elliott Reyes",44617.95
"And Bautista, Johnson Allen",11763.47
"And Baxter Johnson Stanley,",14245.22
"And Baxter, Bradshaw Stanton",46210.08
"And Bean Sanchez Mills,",22222.12
"And Beard Carlson, Ortiz",5059.56
"And Beard, Sherman Vasquez",35799.42
"And Beasley, Daniel Johnson",19004.39
"And Beasley, White Sandoval",25471.61
"And Beck Morgan, Shaw",18494.46
"And Beck Peterson, Perez",44511.07
"And Beck Reyes Clarke,",1885.69
"And Beck, Scott Leblanc",11191.02
"And Becker Baker Owens,",34821.14
"And Becker Holmes Espinoza,",21060.1
"And Bell Dawson, Moore",32905.16
"And Bell Jones, Montes",23560.63
"And Bell Mcknight, Davis",5326.4
"And Bell Murphy, Harrell",45581.74
"And Bell Perry, Moore",20545.43
"And Bell Roberts, Walters",2046.99
